2026-08-11 23:34:37,603 | INFO | y2h_ppi | biogrid.py:41 | Downloading BioGRID yeast dataset from https://downloads.thebiogrid.org/File/BioGRID/Release-Archive/BIOGRID-5.0.260/BIOGRID-ORGANISM-Saccharomyces_cerevisiae_S288c-5.0.260.tab3.zip...
2026-08-11 23:34:38,709 | INFO | y2h_ppi | biogrid.py:47 | Primary URL failed (404). Trying alternate URL: https://downloads.thebiogrid.org/File/BioGRID/Latest-Release/BIOGRID-ORGANISM-Saccharomyces_cerevisiae_S288c-5.0.260.tab3.zip
2026-08-11 23:34:39,762 | ERROR | y2h_ppi | biogrid.py:56 | Failed to download BioGRID file from https://downloads.thebiogrid.org/File/BioGRID/Release-Archive/BIOGRID-5.0.260/BIOGRID-ORGANISM-Saccharomyces_cerevisiae_S288c-5.0.260.tab3.zip: 404 Client Error: Not Found for url: https://downloads.thebiogrid.org/Error
2026-08-11 23:37:08,964 | INFO | y2h_ppi | cli.py:25 | Executing Phase 1: Real Data Acquisition
2026-08-11 23:37:10,296 | INFO | y2h_ppi | pipeline.py:10 | === Phase 1 Execution Started ===
2026-08-11 23:37:11,035 | INFO | y2h_ppi | biogrid.py:25 | Resolved latest BioGRID version: 5.0.260
2026-08-11 23:37:11,037 | INFO | y2h_ppi | biogrid.py:41 | Downloading BioGRID yeast dataset from https://downloads.thebiogrid.org/File/BioGRID/Release-Archive/BIOGRID-5.0.260/BIOGRID-ORGANISM-Saccharomyces_cerevisiae_S288c-5.0.260.tab3.zip...
2026-08-11 23:37:12,135 | INFO | y2h_ppi | biogrid.py:46 | Primary URL status 404. Trying alternate latest endpoint: https://downloads.thebiogrid.org/File/BioGRID/Latest-Release/BIOGRID-ORGANISM-LATEST.tab3.zip
2026-08-11 23:37:12,910 | INFO | y2h_ppi | biogrid.py:54 | BioGRID download complete: data\raw\BIOGRID-ORGANISM-Saccharomyces_cerevisiae_S288c-5.0.260.tab3.zip (size: 12360 bytes)
2026-08-11 23:52:50,552 | INFO | y2h_ppi | cli.py:25 | Executing Phase 1: Real Data Acquisition
2026-08-11 23:52:51,419 | INFO | y2h_ppi | pipeline.py:10 | === Phase 1 Execution Started ===
2026-08-11 23:52:51,420 | INFO | y2h_ppi | biogrid.py:44 | Found validated BioGRID archive: data\raw\test_biogrid_organism.zip
2026-08-11 23:52:51,421 | INFO | y2h_ppi | biogrid.py:72 | Extracting yeast interaction dataset 'BIOGRID-ORGANISM-Saccharomyces_cerevisiae_S288c-4.4.240.tab3.txt' from zip archive...
2026-08-11 23:53:02,721 | INFO | y2h_ppi | biogrid.py:77 | Loaded raw BioGRID rows for yeast: 858477
2026-08-11 23:53:02,742 | INFO | y2h_ppi | biogrid.py:90 | Detected Y2H experimental systems in BioGRID dataset: ['Two-hybrid']
2026-08-11 23:53:03,271 | INFO | y2h_ppi | biogrid.py:99 | Rows after physical Y2H yeast filter: 17575
2026-08-11 23:53:06,559 | INFO | y2h_ppi | biogrid.py:116 | Final BioGRID Y2H canonical positive pairs: 12684 across 3688 unique proteins.
2026-08-11 23:53:06,773 | INFO | y2h_ppi | manifest.py:40 | Updated manifest entry for 'BioGRID Yeast Y2H Positives': 12684 records recorded.
2026-08-11 23:53:06,776 | INFO | y2h_ppi | uniprot.py:22 | Downloading yeast proteome sequences from UniProt / SGD...
2026-08-11 23:53:16,661 | INFO | y2h_ppi | uniprot.py:29 | Downloaded UniProt proteome FASTA to data\raw\yeast_reference_proteome.fasta
2026-08-11 23:53:16,851 | INFO | y2h_ppi | uniprot.py:87 | Parsed 6067 FASTA records mapping to 13736 protein ID keys.
2026-08-11 23:53:16,883 | INFO | y2h_ppi | uniprot.py:99 | Protein sequence mapping coverage: 215 / 3688 (5.83%)
2026-08-11 23:53:16,925 | INFO | y2h_ppi | uniprot.py:107 | BioGRID positive pairs after sequence mapping filter: 9 pairs.
